mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.007680034637451172,0.0012488987704328016,0.00193939208984375,0.0015916680531912067,1.0,l1,"{'C': 1, 'penalty': 'l1'}",0.4828125,0.5179968701095462,0.5273865414710485,0.543035993740219,0.49765258215962443,0.5137768974960877,0.0213443798147067,2
0.003103208541870117,0.006206417083740233,0.003511524200439453,0.005715630393069644,1.0,l2,"{'C': 1, 'penalty': 'l2'}",0.48125,0.513302034428795,0.5273865414710485,0.5414710485133021,0.49921752738654146,0.5125254303599374,0.021045462092173523,4
0.003330087661743164,0.005910382202703396,0.002712392807006836,0.005424785614013671,0.5,l1,"{'C': 0.5, 'penalty': 'l1'}",0.4828125,0.5164319248826291,0.5226917057902973,0.5414710485133021,0.49921752738654146,0.512524941314554,0.02008193803789933,7
0.004596138000488281,0.006852163074894985,0.002843427658081055,0.004680451974090692,0.5,l2,"{'C': 0.5, 'penalty': 'l2'}",0.48125,0.513302034428795,0.5273865414710485,0.5414710485133021,0.49921752738654146,0.5125254303599374,0.021045462092173523,4
0.006892633438110351,0.0029195332380346833,0.0003633975982666016,0.0007267951965332031,0.1,l1,"{'C': 0.1, 'penalty': 'l1'}",0.4890625,0.5070422535211268,0.5226917057902973,0.5258215962441315,0.48513302034428796,0.5059502151799686,0.01670264868706689,8
0.00458526611328125,0.0036629500423808066,0.0014025211334228516,0.0028050422668457033,0.1,l2,"{'C': 0.1, 'penalty': 'l2'}",0.48125,0.513302034428795,0.5273865414710485,0.5414710485133021,0.49921752738654146,0.5125254303599374,0.021045462092173523,4
0.0017443180084228515,0.003240807587667437,0.001027393341064453,0.0018114709223456722,0.01,l1,"{'C': 0.01, 'penalty': 'l1'}",0.5015625,0.5007824726134585,0.5023474178403756,0.5023474178403756,0.5023474178403756,0.501877445226917,0.0006262233295534773,9
0.0034847259521484375,0.006377210928318544,0.0028042316436767576,0.005608463287353515,0.01,l2,"{'C': 0.01, 'penalty': 'l2'}",0.4796875,0.5179968701095462,0.5289514866979655,0.5414710485133021,0.49921752738654146,0.513464886541471,0.021856888398499818,3
0.001425027847290039,0.0017798183494523623,0.0024096488952636717,0.004819297790527343,0.001,l1,"{'C': 0.001, 'penalty': 'l1'}",0.5015625,0.5007824726134585,0.5023474178403756,0.5023474178403756,0.5023474178403756,0.501877445226917,0.0006262233295534773,9
0.0027851581573486326,0.0021011457766752124,0.0029363155364990233,0.003923408332579569,0.001,l2,"{'C': 0.001, 'penalty': 'l2'}",0.4828125,0.5211267605633803,0.5383411580594679,0.5492957746478874,0.5070422535211268,0.5197236893583724,0.023436474533328363,1
